Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
3,HTC5,H,C,5,3,69,0.259
3,HTC5,H,C,5,3,69,0.284
3,HTC5,H,C,5,3,69,0.46
3,HTC5,H,C,5,3,69,0.341
3,HTC5,H,C,5,3,69,0.558
3,HTC5,H,C,5,3,69,0.498
4,LTC2,L,C,5,3,69,0.155
4,LTC2,L,C,5,3,69,0.249
4,LTC2,L,C,5,3,69,0.199
4,LTC2,L,C,5,3,69,0.153
4,LTC2,L,C,5,3,69,0.268
4,LTC2,L,C,5,3,69,0.266
4,LTC2,L,C,5,3,69,0.199
4,LTC2,L,C,5,3,69,0.215
4,LTC2,L,C,5,3,69,0.279
4,LTC2,L,C,5,3,69,0.628
4,LTC2,L,C,5,3,69,0.351
4,LTC2,L,C,5,3,69,0.231
4,LTC2,L,C,5,3,69,0.706
4,LTC2,L,C,5,3,69,0.277
4,LTC2,L,C,5,3,69,0.274
4,LTC2,L,C,5,3,69,0.636
4,LTC2,L,C,5,3,69,0.37
4,LTC2,L,C,5,3,69,0.298
4,LTC2,L,C,5,3,69,0.715
4,LTC2,L,C,5,3,69,0.273
5,LTC3,L,C,5,3,69,0.123
5,LTC3,L,C,5,3,69,0.373
5,LTC3,L,C,5,3,69,0.245
5,LTC3,L,C,5,3,69,0.367
5,LTC3,L,C,5,3,69,0.413
5,LTC3,L,C,5,3,69,0.129
5,LTC3,L,C,5,3,69,0.376
5,LTC3,L,C,5,3,69,0.303
5,LTC3,L,C,5,3,69,0.371
5,LTC3,L,C,5,3,69,0.331
5,LTC3,L,C,5,3,69,0.162
5,LTC3,L,C,5,3,69,0.17
5,LTC3,L,C,5,3,69,0.226
5,LTC3,L,C,5,3,69,0.118
5,LTC3,L,C,5,3,69,0.313
5,LTC3,L,C,5,3,69,0.141
5,LTC3,L,C,5,3,69,0.233
5,LTC3,L,C,5,3,69,0.476
5,LTC3,L,C,5,3,69,0.189
5,LTC3,L,C,5,3,69,0.29
6,HTC6,H,C,5,3,69,0.245
6,HTC6,H,C,5,3,69,0.492
6,HTC6,H,C,5,3,69,0.465
6,HTC6,H,C,5,3,69,0.295
6,HTC6,H,C,5,3,69,0.341
6,HTC6,H,C,5,3,69,0.277
6,HTC6,H,C,5,3,69,0.551
6,HTC6,H,C,5,3,69,0.185
6,HTC6,H,C,5,3,69,0.53
6,HTC6,H,C,5,3,69,0.581
6,HTC6,H,C,5,3,69,0.425
6,HTC6,H,C,5,3,69,0.34
6,HTC6,H,C,5,3,69,0.419
6,HTC6,H,C,5,3,69,0.488
6,HTC6,H,C,5,3,69,0.282
6,HTC6,H,C,5,3,69,0.438
6,HTC6,H,C,5,3,69,0.64
6,HTC6,H,C,5,3,69,0.357
6,HTC6,H,C,5,3,69,0.468
6,HTC6,H,C,5,3,69,0.368
1,HTC4,H,C,5,4,76,0.452
1,HTC4,H,C,5,4,76,0.242
1,HTC4,H,C,5,4,76,0.579
1,HTC4,H,C,5,4,76,0.611
1,HTC4,H,C,5,4,76,0.436
1,HTC4,H,C,5,4,76,0.452
1,HTC4,H,C,5,4,76,0.447
1,HTC4,H,C,5,4,76,0.582
1,HTC4,H,C,5,4,76,0.34
1,HTC4,H,C,5,4,76,0.638
1,HTC4,H,C,5,4,76,0.628
1,HTC4,H,C,5,4,76,0.491
1,HTC4,H,C,5,4,76,0.468
1,HTC4,H,C,5,4,76,0.454
1,HTC4,H,C,5,4,76,0.626
1,HTC4,H,C,5,4,76,0.513
1,HTC4,H,C,5,4,76,0.385
1,HTC4,H,C,5,4,76,0.345
1,HTC4,H,C,5,4,76,0.489
1,HTC4,H,C,5,4,76,0.29
2,LTC1,L,C,5,4,76,0.525
2,LTC1,L,C,5,4,76,0.415
2,LTC1,L,C,5,4,76,0.355
2,LTC1,L,C,5,4,76,0.521
2,LTC1,L,C,5,4,76,0.403
2,LTC1,L,C,5,4,76,0.248
2,LTC1,L,C,5,4,76,0.404
2,LTC1,L,C,5,4,76,0.394
2,LTC1,L,C,5,4,76,0.436
2,LTC1,L,C,5,4,76,0.33
2,LTC1,L,C,5,4,76,0.561
2,LTC1,L,C,5,4,76,0.517
2,LTC1,L,C,5,4,76,0.359
2,LTC1,L,C,5,4,76,0.579
2,LTC1,L,C,5,4,76,0.222
2,LTC1,L,C,5,4,76,0.232
2,LTC1,L,C,5,4,76,0.439
2,LTC1,L,C,5,4,76,0.587
2,LTC1,L,C,5,4,76,0.232
2,LTC1,L,C,5,4,76,0.308
3,HTC5,H,C,5,4,76,0.45
3,HTC5,H,C,5,4,76,0.818
3,HTC5,H,C,5,4,76,0.469
3,HTC5,H,C,5,4,76,0.596
3,HTC5,H,C,5,4,76,0.493
3,HTC5,H,C,5,4,76,0.393
3,HTC5,H,C,5,4,76,0.231
3,HTC5,H,C,5,4,76,0.304
3,HTC5,H,C,5,4,76,0.399
3,HTC5,H,C,5,4,76,0.492
3,HTC5,H,C,5,4,76,0.588
3,HTC5,H,C,5,4,76,0.363
3,HTC5,H,C,5,4,76,0.791
3,HTC5,H,C,5,4,76,0.487
3,HTC5,H,C,5,4,76,0.38
3,HTC5,H,C,5,4,76,0.476
3,HTC5,H,C,5,4,76,0.502
3,HTC5,H,C,5,4,76,0.49
3,HTC5,H,C,5,4,76,0.4
3,HTC5,H,C,5,4,76,0.489
4,LTC2,L,C,5,4,76,0.226
4,LTC2,L,C,5,4,76,0.222
4,LTC2,L,C,5,4,76,0.208
4,LTC2,L,C,5,4,76,0.384
4,LTC2,L,C,5,4,76,0.429
4,LTC2,L,C,5,4,76,0.71
4,LTC2,L,C,5,4,76,0.466
4,LTC2,L,C,5,4,76,0.287
4,LTC2,L,C,5,4,76,0.688
4,LTC2,L,C,5,4,76,0.418
4,LTC2,L,C,5,4,76,0.319
4,LTC2,L,C,5,4,76,0.302
4,LTC2,L,C,5,4,76,0.524
4,LTC2,L,C,5,4,76,0.395
4,LTC2,L,C,5,4,76,0.488
4,LTC2,L,C,5,4,76,0.465
4,LTC2,L,C,5,4,76,0.43
4,LTC2,L,C,5,4,76,0.275
4,LTC2,L,C,5,4,76,0.265
4,LTC2,L,C,5,4,76,0.253
5,LTC3,L,C,5,4,76,0.708
5,LTC3,L,C,5,4,76,0.521
5,LTC3,L,C,5,4,76,0.434
5,LTC3,L,C,5,4,76,0.556
5,LTC3,L,C,5,4,76,0.446
5,LTC3,L,C,5,4,76,0.262
5,LTC3,L,C,5,4,76,0.691
5,LTC3,L,C,5,4,76,0.414
5,LTC3,L,C,5,4,76,0.203
5,LTC3,L,C,5,4,76,0.42
5,LTC3,L,C,5,4,76,0.591
5,LTC3,L,C,5,4,76,0.48
5,LTC3,L,C,5,4,76,0.329
5,LTC3,L,C,5,4,76,0.294
5,LTC3,L,C,5,4,76,0.359
5,LTC3,L,C,5,4,76,0.441
5,LTC3,L,C,5,4,76,0.454
5,LTC3,L,C,5,4,76,0.331
5,LTC3,L,C,5,4,76,0.169
5,LTC3,L,C,5,4,76,0.292
6,HTC6,H,C,5,4,76,0.35
6,HTC6,H,C,5,4,76,0.283
6,HTC6,H,C,5,4,76,0.393
6,HTC6,H,C,5,4,76,0.622
6,HTC6,H,C,5,4,76,0.53
6,HTC6,H,C,5,4,76,0.468
6,HTC6,H,C,5,4,76,0.522
6,HTC6,H,C,5,4,76,0.624
6,HTC6,H,C,5,4,76,0.509
6,HTC6,H,C,5,4,76,0.479
6,HTC6,H,C,5,4,76,0.491
6,HTC6,H,C,5,4,76,0.353
6,HTC6,H,C,5,4,76,0.47
6,HTC6,H,C,5,4,76,0.396
6,HTC6,H,C,5,4,76,0.282
6,HTC6,H,C,5,4,76,0.296
6,HTC6,H,C,5,4,76,0.487
6,HTC6,H,C,5,4,76,0.613
6,HTC6,H,C,5,4,76,0.477
6,HTC6,H,C,5,4,76,0.573
1,HTC4,H,C,5,5,83,0.678
1,HTC4,H,C,5,5,83,0.287
1,HTC4,H,C,5,5,83,0.189
1,HTC4,H,C,5,5,83,0.398
1,HTC4,H,C,5,5,83,0.363
1,HTC4,H,C,5,5,83,0.517
